talk_id,external_id,internal_id,title,abstract,authors,areas,has_video
"02.3","0114","114","ChauffeurNet: Learning to Drive by Imitating the Best and Synthesizing the Worst","Our goal is to train a policy for autonomous driving via imitation learning that is robust enough to drive a real vehicle. We find that standard behavior cloning is insufficient for handling complex driving scenarios, even when we leverage a perception system for preprocessing the input and a controller for executing the output on the car: 30 million examples are still not enough. We propose exposing the learner to synthesized data in the form of perturbations to the expert's driving, which creates interesting situations such as collisions and/or going off the road. Rather than purely imitating all data, we augment the imitation loss with additional losses that penalize undesirable events and encourage progress -- the perturbations then provide an important signal for these losses and lead to robustness of the learned model. We show that the ChauffeurNet model can handle complex situations in simulation, and present ablation experiments that emphasize the importance of each of our proposed changes and show that the model is responding to the appropriate causal factors. Finally, we demonstrate the model driving a real car at our test facility.","Bansal, Mayank; Krizhevsky, Alex; Ogale, Abhijit",,0,
"11.1","0117","117","Impact-Friendly Robust Control Design with Task-Space Quadratic Optimization","Almost all known robots fear impacts. Unlike humans, robots keep guarded motions to near zero-velocity prior to establishing contacts with their surroundings. This significantly slows down robotic tasks involving physical interaction. Two main ingredients are necessary to remedy this limitation: impact-friendly hardware design, and impact-friendly controllers. Our work focuses on the controller aspect. Task-space controllers formulated as quadratic programming (QP) are widely used in robotics to generate modular and reactive motion for a large range of task specifications under various constraints. We explicitly introduce discrete impact dynamics model into the QP-based controllers to generate robot motions that are robust to impact-induced state jumps in the joint velocities and joint torques. Our simulations, validate that our proposed impact-friendly QP controller is robust to contacts, shall they be expected or not. Therefore, we can exploit it for establishing contacts with high velocities, and explicitly generate task-purpose impulsive forces.","Wang, Yuquan; Kheddar, Abderrahmane",,1,
"BSP.5","0118","118","An Online Learning Approach to Model Predictive Control","Model predictive control (MPC) is a powerful technique for solving dynamic control tasks. In this paper, we show that there exists a close connection between MPC and online learning, an abstract theoretical framework for analyzing online decision making in the optimization literature. This new perspective provides a foundation for leveraging powerful online learning algorithms to design MPC algorithms. Specifically, we propose a new algorithm based on dynamic mirror descent (DMD), an online learning algorithm that is designed for non-stationary setups. Our algorithm, Dynamic Mirror Descent Model Predictive Control (DMD-MPC), represents a general family of MPC algorithms that includes many existing techniques as special instances. DMD-MPC also provides a fresh perspective on previous heuristics used in MPC and suggests a principled way to design new MPC algorithms. In the experimental section of this paper, we demonstrate the flexibility of DMD-MPC, presenting a set of new MPC algorithms on a simple simulated cartpole and a simulated and real-world aggressive driving task. A video of the real-world experiment can be found at https://youtu.be/vZST3v0_S9w.","Wagener, Nolan; Cheng, Ching-an; Sacks, Jacob; Boots, Byron",,0,
"15.3","0119","119","Real-Time Reactive Trip Avoidance for Powered Transfemoral Prostheses","This paper presents a real-time reactive controller for a powered prosthesis that addresses the problem of trip avoidance. The control estimates the pose of the leg during swing with an extended Kalman filter, predicts future hip angles and hip heights using sparse Gaussian Processes, and reactively plans updated ankle and knee trajectories with a fast quadratic program solver to avoid trips. In preliminary experiments with an able-bodied user who purposefully lowered the hip to elicit trips on each swing, the proposed control reduced the rate of tripping by 68% when compared to a swing control that follows standard minimum-jerk trajectories. In addition, the proposed control also reduced the severity of toe-scuffing. To the best of our knowledge, this controller is the first to incorporate visual feedback in the real-time planning and control of a lower limb prosthesis during gait. The results demonstrate the potential of reactive and environment-aware controls to improve amputee gait robustness and encourage future development of leg prosthesis controls that can react in real-time to the environment and user state.","Thatte, Nitish; Srinivasan, Nandagopal; Geyer, Hartmut",,1,
"BPA.3","0120","120","Robot Packing with Known Items and Nondeterministic Arrival Order","This paper formulates two variants of packing problems in which the set of items is known but the arrival order is unknown. The goal is to certify that the items can be packed in a given container, and/or to optimize the size or cost of a container so that that the items are guaranteed to be packable, regardless of arrival order. The Nondeterministically ordered packing (NDOP) variant asks to generate a certificate that a packing plan exists for every ordering of items. Quasi-online packing (QOP) asks to generate a partially-observable packing policy that chooses the item location as each subsequent item is revealed. Theoretical analysis demonstrates that even the simple subproblem of verifying feasibility of a packing policy is NP-complete. Despite this worst-case complexity, practical solvers for both NDOP and QOP are developed, and experiments demonstrate their application to packing irregular 3D shapes with manipulator loading constraints.","Wang, Fan; Hauser, Kris",,0,
"BPA.1","0121","121","Equivalence of the Projected Forward Dynamics and the Dynamically Consistent Inverse Solution","The analysis, design, and motion planning of robotic systems, often relies on its forward and inverse dynamic models. When executing a task involving interaction with the environment, both the task and the environment impose constraints on the robots motion. For modeling such systems, we need to incorporate these constraints in the robots dynamic model. In this paper, we define the class of Task-based Constraints (TbC) to prove that the forward dynamic models of a constrained system obtained through the Projection-based Dynamics (PbD), and the Operational Space Formulation (OSF) are equivalent. In order to establish such equivalence, we first generalize the OSF to a rank deficient Jacobian. This generalization allow us to numerically handle redundant constraints and singular configurations, without having to use different controllers in the vicinity of such configurations. We then reformulate the PbD constraint inertia matrix, generalizing all its previous distinct algebraic variations. We also analyse the condition number of different constraint inertia matrices, which affects the numerical stability of its inversion. Furthermore, we show that we can recover the operational space control with constraints from a multiple Task-based Constraint abstraction.","Moura, Joao; Ivan, Vladimir; Erden, Mustafa Suphi; Vijayakumar, Sethu",,0,
"06.5","0123","123","Robust Singular Smoothers for Tracking Using Low-Fidelity Data","Tracking underwater autonomous platforms is often challenged by noisy, biased, and discretized input data. Classic filters and smoothers based on standard assumptions of Gaussian white noise break down when presented with any of these challenges. Robust models (such as the Huber loss) and constraints (e.g. maximum velocity) are used to attenuate these issues. Here, we consider robust smoothing with singular covariance, which covers bias and correlated noise, as well as many specific model types, such as those used in navigation. In particular, we show how to combine singular covariance models with robust losses and state-space constraints in a unified framework that can handle very low-fidelity data. A noisy, biased, and discretized navigation dataset from a submerged, low-cost inertial measurement unit (IMU) package, with ultra short baseline (USBL) data for ground truth, provides an opportunity to stresstest the proposed framework with promising results. We show how using the robust elements improves our ability to analyze the data, and present batch processing results for 10 minutes of data using three different frequencies of available USBL position fixes (gaps of 30 seconds, 1 minute, and 2 minutes). The results suggest that the framework can be extended to real-time tracking using robust windowed estimation.","Jonker, Jonathan; Aravkin, Aleksandr; Burke, James; Pillonetto, Gianluigi; Webster, Sarah E.",,0,
"05.2","0125","125","Teleoperator Imitation with Continuous-Time Safety","Learning to effectively imitate human teleoperators, with generalization to unseen and dynamic environments, is a promising path to greater autonomy enabling robots to steadily acquire complex skills from supervision. We propose a new motion learning technique rooted in contraction theory and sum-of-squares programming for estimating a control law in the form of a polynomial vector field from a given set of demonstrations. Notably, this vector field is provably optimal for the problem of minimizing imitation loss while providing continuous-time guarantees on the induced imitation behavior. Our method generalizes to new initial and goal poses of the robot and can adapt in real-time to dynamic obstacles during execution, with convergence to teleoperator behavior within a well-defined safety tube. We present an application of our framework for pick-and-place tasks in the presence of moving obstacles on a 7-DOF KUKA IIWA arm. The method compares favorably to other learning-from-demonstration approaches on benchmark handwriting imitation tasks.","El Khadir, Bachir; Varley, Jacob; Sindhwani, Vikas",,1,
"BSP.3","0128","128","Differentiable Algorithm Networks for Composable Robot Learning","This paper introduces the Differentiable Algorithm Network (DAN), a composable architecture for robot learning systems. A DAN is composed of neural network modules, each encoding a differentiable robot algorithm and an associated model; and it is trained end-to-end from data. DAN combines the strengths of model-driven modular system design and data-driven end-to-end learning. The algorithms and models act as structural assumptions to reduce the data requirements for learning; end-to-end learning allows the modules to adapt to one another and compensate for imperfect models and algorithms, in order to achieve the best overall system performance. We illustrate the DAN methodology through a case study on a simulated robot system, which learns to navigate in complex 3-D environments with only local visual observations and an image of a partially correct 2-D floor map.","Karkus, Peter; Ma, Xiao; Hsu, David; Kaelbling, Leslie; Lee, Wee Sun; Lozano-Perez, Tomas",,1,
"04.4","0135","135","Online Incremental Learning of the Terrain Traversal Cost in Autonomous Exploration","In this paper, we address motion efficiency in autonomous robot exploration with multi-legged walking robots that can traverse rough terrains at the cost of lower efficiency and greater body vibration. We propose a robotic system for online and incremental learning of the terrain traversal cost that is immediately utilized to reason about next navigational goals in building spatial model of the robot surrounding. The traversal cost experienced by the robot is characterized by incrementally constructed Gaussian Processes using Bayesian Committee Machine. During the exploration, the robot builds the spatial terrain model, marks untraversable areas, and leverages the Gaussian Process predictive variance to decide whether to improve the spatial model or decrease the uncertainty of the terrain traversal cost. The feasibility of the proposed approach has been experimentally verified in a fully autonomous deployment with the hexapod walking robot.","Pragr, Milos; Cizek, Petr; Bayer, Jan; Faigl, Jan",,1,
"08.5","0137","137","Predicting Human Interpretations of Affect and Valence in a Social Robot","As the adoption of robots becomes widespread across more industries and domains, those robots will be placed in new contexts where they will interact with people who do not understand how they work. The consequences of such a disparity can already be seen in how people assign anthropomorphic characteristics to those robots, despite what what the robot designers may have intended. In this paper, we seek to understand how people interpret a social robot's performance of an emotion, what we term 'affective display,' and the positive or negative valence of that affect. To this end, we tasked annotators with observing the Anki Cozmo robot perform its over 900 pre-scripted behaviors and labeling those behaviors with 16 possible affective display labels (e.g., interest, boredom, disgust, etc.). In our first experiment, we trained a neural network to predict annotated labels given multimodal information about the robot's movement, face, and audio. The results suggest that pairing affects to predict the valence between them is more informative, which we confirmed in a second experiment. Both experiments show that certain modalities are more useful for predicting displays of affect and valence. For our final experiment, we generated novel robot behaviors and tasked human raters with assigning scores to valence pairs instead of applying labels, then compared our model's predictions of valence between the affective pairs and compared the results to the human ratings. We conclude that robot designers and researchers cannot assume that people will perceive affect or valence as designed, and make several suggestions for directions of future work.","Kennington, Casey; McNeill, David",,0,
"15.1","0140","140","Proximity Queries for Absolutely Continuous Parametric Curves","In motion planning problems for autonomous robots, such as self-driving cars, the robot must ensure that its planned path is not in close proximity to obstacles in the environment. However, the problem of evaluating the proximity is generally non-convex and serves as a significant computational bottleneck for motion planning algorithms. In this paper, we present methods for a general class of absolutely continuous parametric curves to compute: (i) the minimum separating distance, (ii) tolerance verification, and (iii) collision detection. Our methods efficiently compute bounds on obstacle proximity by bounding the curve in a convex region. This bound is based on an upper bound on the curve arc length that can be expressed in closed form for a useful class of parametric curves including curves with trigonometric or polynomial bases. We demonstrate the computational efficiency and accuracy of our approach through numerical simulations of several proximity problems.","Lakshmanan, Arun; Patterson, Andrew; Cichella, Venanzio; HOVAKIMYAN, NAIRA",,1,
"13.2","0141","141","A Modular Optimization Framework for Localization and Mapping","This work approaches the challenge of how to divide the problem of Simultaneous Localization and Mapping (SLAM) into its smallest possible constituents, in such a way that the reusability and interchangeability of each such module is maximized. In particular, most components in the proposed system should be not aware of details such that whether the map comprises a single global map or a set of local submaps, whether the state vector is defined in SE(2) or SE(3), with or without velocity, etc. Any number of heterogeneous sensors should be used together and their information fused seamlessly into a consistent localization solution. The resulting system would be useful for researchers, easing the development of reproducible research and enabling the quick adoption of state-of-the-art algorithms into product prototypes. Our implementation has been tested with different sensors against the KITTI, EuRoC, and KAIST datasets. In this paper we focus on an introduction to the framework and on experimental results for 3D LiDAR odometry and mapping. LiDAR SLAM for the KITTI datasets achieves typical translation errors between 0.5% and 2% for most urban sequences, while processing the data at 1.5x the real-time rate with a reduced memory requirement thanks to our framework's capability to dynamically swap out from memory the parts of the map that are not immediately required, transparently loading them again when required. The framework will be released as open-source at https://github.com/MOLAorg/mola","Blanco-Claraco, Jose Luis",,1,
"14.1","0145","145","Continuous Direct Sparse Visual Odometry from RGB-D Images","This paper reports on a novel formulation and evaluation of visual odometry from RGB-D images. Assuming a static scene, the developed theoretical framework generalizes the widely used direct energy formulation (photometric error minimization) technique for obtaining a rigid body transformation that aligns two overlapping RGB-D images to a continuous formulation. The continuity is achieved through functional treatment of the problem and representing the process models over RGB-D images in a reproducing kernel Hilbert space; consequently, the registration is not limited to the specific image resolution and the framework is fully analytical with a closed-form derivation of the gradient. We solve the problem by maximizing the inner product between two functions defined over RGB-D images, while the continuous action of the rigid body motion Lie group is captured through the integration of the flow in the corresponding Lie algebra. Energy-based approaches have been extremely successful and the developed framework in this paper shares many of their desired properties such as the parallel structure on both CPUs and GPUs, sparsity, semi-dense tracking, avoiding explicit data association which is computationally expensive, and possible extensions to the simultaneous localization and mapping frameworks. The evaluations on experimental data and comparison with the equivalent energy-based formulation of the problem confirm the effectiveness of the proposed technique, especially, when the lack of structure and texture in the environment is evident.","Ghaffari Jadidi, Maani; Clark, William; Bloch, Anthony; Eustice, Ryan; Grizzle, J.W",,0,
"12.1","0146","146","Cross-Modal Learning Filters for RGB-Neuromorphic Wormhole Learning","Robots that need to act in an uncertain, populated, and varied world need heterogeneous sensors to be able to perceive and act robustly. For example, self-driving cars currently on the road are equipped with dozens of sensors of several types (lidar, radar, sonar, cameras, ...). All of this existing and emerging complexity opens up many interesting questions regarding how to deal with multi-modal perception and learning. The recently developed technique of &quot;wormhole learning&quot; shows that even temporary access to a different sensor with complementary invariance characteristics can be used to enlarge the operating domain of an existing object detector without the use of additional training data. For example, an RGB object detector trained with daytime data can be updated to function at night time by using a &quot;wormhole&quot; jump through a different modality that is more illumination invariant, such as an IR camera. It turns out that having an additional sensor improves performance, even if you subsequently lose it.   In this work we extend wormhole learning to allow to cope with sensors that are radically different, such as RGB cameras and event-based neuromorphic sensors. Their profound differences imply that we need a more careful selection of which samples to transfer, by the definition of &quot;cross-modal learning filters&quot;. We will walk in a relatively unexplored territory of multi-modal observability that is not usually considered in machine learning. We show that wormhole learning increases performance even though the intermediate neuromorphic modality is on average much worse at the task. These results suggest that multi-modal learning for perception is still an early field and there might be many opportunities to improve the perception performance by accessing a rich set of heterogeneous sensors (even if some are not actually deployed on the robot).","Zanardi, Alessandro; Aumiller, Andreas Jianhao; Zilly, Julian; Censi, Andrea; Frazzoli, Emilio",,0,
"03.3","0149","149","DensePhysNet: Learning Dense Physical Object Representations Via Multi-Step Dynamic Interactions","We study the problem of learning physical object representations for robot manipulation. Understanding object physics is critical for successful object manipulation, but also challenging because physical object properties can rarely be inferred from the objects static appearance. In this paper, we propose DensePhysNet, a system that actively executes a sequence of dynamic interactions (e.g., sliding and colliding), and uses a deep predictive model over its visual observations to learn dense, pixel-wise representations that reflect the physical properties of observed objects. Our experiments in both simulation and real settings demonstrate that the learned representations carry rich physical information, and can directly be used to decode physical object properties such as friction and mass. The use of dense representation enables DensePhysNet to generalize well to novel scenes with more objects than in training. With knowledge of object physics, the learned representation also leads to more accurate and efficient manipulation in downstream tasks than the state-of-the-art.","Xu, Zhenjia; Wu, Jiajun; Zeng, Andy; Tenenbaum, Joshua; Song, Shuran",,0,
"08.4","0150","150","Probabilistic Multimodal Modeling for Human-Robot Interaction Tasks","Human-robot interaction benefits greatly from multimodal sensor inputs as they enable increased robustness and generalization accuracy. Despite this observation, few HRI methods are capable of efficiently performing inference for multimodal systems. In this work, we introduce a reformulation of Interaction Primitives which allows for learning from demonstration of interaction tasks, while also gracefully handling nonlinearities inherent to multimodal inference in such scenarios. We also empirically show that our method results in more accurate, more robust, and faster inference than standard Interaction Primitives and other common methods in challenging HRI scenarios.","Campbell, Joseph; Stepputtis, Simon; Ben Amor, Heni",,1,
"09.4","0151","151","Game Theoretic Planning for Self-Driving Cars in Competitive Scenarios","We propose a nonlinear receding horizon game-theoretic planner for autonomous cars in competitive scenarios with other cars. The online planner is specifically formulated for a two car autonomous racing scenario in which each car tries to advance along a given track as far as possible with respect to the other car. The algorithm extends previous work on game-theoretic planning for single integrator agents to be suitable for autonomous cars in the following ways: (i) by representing the trajectory as a piecewise-polynomial, (ii) incorporating bicycle kinematics into the trajectory, (iii) enforcing constraints on path curvature and acceleration. The game theoretic planner iteratively plans a trajectory for the ego vehicle, then the other vehicle until convergence. Crucially, the trajectory optimization includes a sensitivity term that allows the ego vehicle to reason about how much the other vehicle will yield to the ego vehicle to avoid collision. The resulting trajectories for the ego vehicle exhibit rich racing strategies such as blocking, faking, and opportunistic overtaking. The game-theoretic planner is shown to significantly out-perform a Model Predictive Control baseline planner in high-fidelity numerical simulations, in experiments with two scale autonomous cars, and in experiments with a full-scale autonomous car racing against a simulated vehicle.","Wang, Mingyu; Wang, Zijian; Talbot, John; Gerdes, J. Christian; Schwager, Mac",,1,
"12.2","0152","152","PoseRBPF: A Rao-Blackwellized Particle Filter for6D Object Pose Estimation","Tracking 6D poses of objects from    videos providesrich information to a robot in performing different tasks suchas manipulation    and navigation. In this work, we formulatethe 6D object pose tracking problem in the Rao-Blackwellizedparticle filtering framework, where the 3D rotation and the 3Dtranslation of the object are decoupled in the estimation process.This factorization allows our approach, called PoseRBPF, toefficiently estimate an objects 3D translation along with the fulldistribution over the 3D rotation. This is achieved by discretizingthe rotation space in a fine-grained manner, and training an auto-encoder network to construct a codebook of feature embeddingsfor the discretized rotations. As a result, PoseRBPF can track ob-jects with arbitrary symmetries while still maintaining adequateposterior distributions. Our approach achieves state-of-the-artresults on two 6D pose estimation benchmarks","Deng, Xinke; Mousavian, Arsalan; Xiang, Yu; Xia, Fei; Bretl, Timothy; Fox, Dieter",,1,
"04.1","0154","154","Leveraging Experience in Lazy Search","Lazy graph search algorithms are efficient at solving motion planning problems where edge evaluation is the computational bottleneck. These algorithms work by lazily computing the shortest potentially feasible path, evaluating edges along that path, and repeating until a feasible path is found. The order in which edges are selected is critical to minimizing the total number of edge evaluations: a good edge selector chooses edges that are not only likely to be invalid, but also eliminates future paths from consideration. We wish to learn such a selector by leveraging prior experience. We formulate this problem as a Markov Decision Process (MDP) on the state of the search problem. While solving this large MDP is generally intractable, we show that we can compute oracular selectors that can solve the MDP during training. With access to such oracles, we use imitation learning to find effective policies. If new search problems are sufficiently similar to problems solved during training, the learned policy will choose a good edge evaluation ordering and solve the motion planning problem quickly. We evaluate our algorithms on a wide range of 2D and 7D problems and show that the learned selector outperforms baseline commonly used heuristics.","Bhardwaj, Mohak; Choudhury, Sanjiban; Boots, Byron; Srinivasa, Siddhartha",,0,
"09.2","0158","158","Towards Provably Not-At-Fault Control of Autonomous Robots in Arbitrary Dynamic Environments","As autonomous robots increasingly become part of daily life, they will often encounter dynamic environments while only having limited information about their surroundings. Unfortunately, due to the possible presence of malicious dynamic actors, it is infeasible to develop an algorithm that can guarantee collision-free operation. Instead, one can attempt to design a control technique that guarantees the robot is not-at-fault in any collision. In the literature, making such guarantees in real time has been restricted to static environments or specific dynamic models. To ensure not-at-fault behavior, a robot must first correctly sense and predict the world around it within some sufficiently large sensor horizon (the prediction problem), then correctly control relative to the predictions (the control problem). This paper addresses the control problem by proposing Reachability-based Trajectory Design for Dynamic environments (RTD-D), which guarantees that a robot with an arbitrary nonlinear dynamic model correctly responds to predictions in arbitrary dynamic environments. RTD-D first computes a Forward Reachable Set (FRS) offline of the robot tracking parameterized desired trajectories that include fail-safe maneuvers. Then, for online receding-horizon planning, RTD-D provides a way to discretize predictions of an arbitrary dynamic environment to enable real-time collision checking. The FRS is used to map these discretized predictions to provably not-at-fault trajectory plans. One such trajectory is chosen at each iteration, or the robot executes the fail-safe maneuver from its previous trajectory, which is guaranteed to be not at fault. RTD-D is shown to produce not-at-fault behavior over thousands of simulations and several real-world hardware demonstrations on two robots: a differential-drive Segway, and a small electric vehicle (EV).","Vaskov, Sean; Kousik, Shreyas; Larson, Hannah; Bu, Fan; Ward, James Robert; Worrall, Stewart; Johnson-Roberson, Matthew; Vasudevan, Ram",,0,
"07.5","0160","160","Trajectory Optimization for Cable-Driven Soft Robot Locomotion","Compliance is a defining characteristic of biological systems. Understanding how to exploit soft materials as effectively as living creatures do is consequently a fundamental challenge that is key to recreating the complex array of motor skills displayed in nature. As an important step towards this grand challenge, we propose a model-based trajectory optimization method for dynamic, cable-driven soft robot locomotion. To derive this trajectory optimization formulation, we begin by modeling soft robots using the Finite Element Method. Through a numerically robust implicit time integration scheme, forward dynamics simulations are used to predict the motion of the robot over arbitrarily long time horizons. Leveraging sensitivity analysis, we show how to efficiently compute analytic derivatives that encode the way in which entire motion trajectories change with respect to parameters that control cable contractions. This information is then used in a forward shooting method to automatically generate optimal locomotion trajectories starting from high-level goals such as the target walking speed or direction. We demonstrate the efficacy of our method by generating and analyzing locomotion gaits for multiple soft robots. Our results include both simulation and fabricated prototypes.","Bern, James; Banzet, Pol; Poranne, Roi; Coros, Stelian",,1,
"11.3","0166","166","Direct Drive Hands: Force-Motion Transparency in Gripper Design","The Direct Drive Hand (DDHand) project is exploring an alternative design philosophy for grippers. The conventional approach is to prioritize clamping force, leading to high gear ratios, slow motion, and poor transmission of force/motion signals. Instead, the DDHand prioritizes transparency: we view the gripper as a signal transmission channel, and seek high-bandwidth, high fidelity transmission of force and motion signals in both directions. The resulting design has no gears and no springs, occupying a new quadrant in the servo gripper design space. This paper presents the direct drive gripper design philosophy, compares the performance of different design choices, describes our current design and implementation, and demonstrates a fly-by smack and snatch grasping motion to show the grippers ability to safely detect and respond quickly to variations in the task environment.","Bhatia, Ankit; Johnson, Aaron; Mason, Matthew T.",,1,
"03.4","0169","169","Local Koopman Operators for Data-Driven Control of Robotic Systems","This paper presents a data-driven methodology for linear embedding of nonlinear systems. Utilizing structural knowledge of general nonlinear dynamics, the authors exploit the Koopman operator to develop a systematic, data-driven approach for constructing a linear representation in terms of higher order derivatives of the underlying nonlinear dynamics. With the linear representation, the nonlinear system is then controlled with an LQR feedback policy, the gains of which need to be calculated only once. As a result, the approach enables fast control synthesis. We demonstrate the efficacy of the approach with simulations and experimental results on the modeling and control of a tail-actuated robotic fish and show that the proposed policy is comparable to backstepping control. To the best of our knowledge, this is the first experimental validation of Koopman-based LQR control.","Mamakoukas, Giorgos; Castano, Maria; Tan, Xiaobo; Murphey, Todd",,1,
"12.3","0172","172","DIViS: Domain Invariant Visual Servoing for Collision-Free Goal Reaching","Robots should understand both semantics and physics to be functional in the real world. While robot platforms provide means for interacting with the physical world they cannot autonomously acquire object-level semantics without needing human. In this paper, we investigate how to minimize human effort and intervention to teach robots perform real world tasks that incorporate semantics. We study this question in the context of visual servoing of mobile robots and propose DIViS, a Domain Invariant policy learning approach for collision free Visual Servoing. DIViS incorporates high level semantics from previously collected static human-labeled datasets and learns collision free servoing entirely in simulation and without any real robot data. However, DIViS can directly be deployed on a real robot and is capable of servoing to the user-specified object categories while avoiding collisions in the real world. DIViS is not constrained to be queried by the final view of goal but rather is robust to servo to image goals taken from initial robot view with high occlusions without this impairing its ability to maintain a collision free path. We show the generalization capability of DIViS on real mobile robots in more than 90 real world test scenarios with various unseen object goals in unstructured environments. DIViS is compared to prior approaches via real world experiments and rigorous tests in simulation. For supplementary videos, see: https://fsadeghi.github.io/DIViS","Sadeghi, Fereshteh",,1,
"10.3","0173","173","Risk Contours Map for Risk Bounded Motion Planning under Perception Uncertainties","In this paper, we introduce risk contours map that contains the risk information of different regions in uncertain environments. Risk is defined as the probability of collision of robots with obstacles in presence of probabilistic uncertainties in location, size, and geometry of obstacles. We use risk contours to obtain safe paths for robots with guaranteed bounded risk. We formulate the problem of obtaining risk contours as a chance constrained optimization. We leverage the theory of moments and nonnegative polynomials to provide a convex optimization in the form of sum of squares optimization. Provided approach deals with nonconvex obstacles and probabilistic bounded and unbounded uncertainties. We demonstrate the performance of the provided approach by solving risk bounded motion planning problems.","M. Jasour, Ashkan; Williams, Brian",,0,
"14.4","0174","174","Toward Asymptotically-Optimal Inspection Planning Via Efficient Near-Optimal Graph Search","Inspection planning, the task of planning motions that allow a robot to inspect a set of points of interest, has applications in domains such as industrial, field, and medical robotics. Inspection planning can be computationally challenging, as the search space over motion plans that inspect the points of interest grows exponentially with the number of inspected points. We propose a novel method, Incremental Random Inspection-roadmap Search (IRIS), that computes inspection plans whose length and set of inspected points asymptotically converge to those of an optimal inspection plan. IRIS incrementally densifies a motion planning roadmap using sampling-based algorithms, and performs efficient near-optimal graph search over the resulting roadmap as it is generated. We demonstrate IRIS efficacy on a simulated planar 5DOF manipulator inspection task and on a medical endoscopic inspection task for a continuum parallel surgical robot in anatomy segmented from patient CT data. We show that IRIS computes higher-quality inspection paths orders of magnitudes faster than a prior state-of-the-art method.","Fu, Mengyu; Kuntz, Alan; Salzman, Oren; Alterovitz, Ron",,1,
"13.3","0175","175","High-Throughput Computation of Shannon Mutual Information on Chip","Exploration problems are fundamental to robotics, arising in various domains, ranging from search and rescue to space exploration. Many effective exploration algorithms rely on the computation of mutual information between the current map and potential future measurements in order to make planning decisions. Unfortunately, computing mutual information metrics is computationally challenging. In fact, a large fraction of the current literature focuses on approximation techniques to devise computationally-ef&#64257;cient algorithms. In this paper, we propose a novel computing hardware architecture to ef&#64257;ciently compute Shannon mutual information. The proposed architecture consists of multiple mutual information computation cores, each evaluating the mutual information between a single sensor beam and the occupancy grid map. The key challenge is to ensure that each core is supplied with data when requested, so that all cores are maximally utilized. Our key contribution consists of a novel memory architecture and data delivery method that ensures effective utilization of all mutual information computation cores. This architecture was optimized for 16 mutual information computation cores, and was implemented on an FPGA. We show that it computes the mutual information metric for an entire map of 20m × 20m at 0.1m resolution in near real time, at 2 frames per second, which is approximately two orders of magnitude faster, while consuming an order of magnitude less power, when compared to an equivalent implementation on a Xeon CPU.","Li, Peter Zhi Xuan; Zhang, Zhengdong; Karaman, Sertac; Sze, Vivienne",,0,
"03.1","0178","178","Planning with State Abstractions for Non-Markovian Task Specifications","Often times, we specify tasks for a robot using temporal language that can also span different levels of abstraction. The example command go to the kitchen before going to the second floor contains spatial abstraction, given that floor consists of individual rooms that can also be referred to in isolation (kitchen, for example). There is also a temporal ordering of events, defined by the word before. Previous works have used Linear Temporal Logic (LTL) to interpret temporal language (such as before), and Abstract Markov Decision Processes (AMDPs) to interpret hierarchical abstractions (such as kitchen and second floor), separately. To handle both types of commands at once, we introduce the Abstract Product Markov Decision Process (AP-MDP), a novel approach capable of representing non-Markovian reward functions at different levels of abstractions. The AP-MDP framework translates LTL into its corresponding automata, creates a product Markov Decision Process (MDP) of the LTL specification and the environment MDP, and decomposes the problem into subproblems to enable efficient planning with abstractions. AP-MDP performs faster than a non-hierarchical method of solving LTL problems in over 95% of tasks, and this number only increases as the size of the environment domain increases. We also present a neural sequence-to-sequence model trained to translate language commands into LTL expression, and a new corpus of non-Markovian language commands spanning different levels of abstraction. We test our framework with the collected language commands on a drone, demonstrating that our approach enables a robot to efficiently solve temporal commands at different levels of abstraction.","Oh, Yoonseon; Patel, Roma; Nguyen, Thao; Huang, Baichuan; Pavlick, Ellie; Tellex, Stefanie",,1,
"BSP.4","0179","179","Modeling and Control of Soft Robots Using the Koopman Operator and Model Predictive Control","Controlling soft robots with precision is a challenge due in large part to the difficulty of constructing models that are amenable to model-based control design techniques. Koopman operator theory offers a way to construct explicit linear dynamical models of soft robots and to control them using established model-based linear control methods. This method is data-driven, yet unlike other data-driven models such as neural networks, it yields an explicit control-oriented linear model rather than just a ``black-box'' input-output mapping. This work describes this Koopman-based system identification method and its application to model predictive controller design. A model and MPC controller of a pneumatic soft robot arm is constructed via the method, and its performance is evaluated over several trajectory following tasks in the real-world. On all of the tasks, the Koopman-based MPC controller outperforms a benchmark MPC controller based on a linear state-space model of the same system.","Bruder, Daniel; Gillespie, Brent; Remy, C. David; Vasudevan, Ram",,1,
"06.3","0181","181","Real-Time Information-Theoretic Exploration with Gaussian Mixture Model Maps","This paper develops an exploration framework that leverages Gaussian mixture models (GMMs) for high-fidelity perceptual modeling and exploits the compactness of the distributions for information sharing in communications-constrained applications. State-of-the-art, high-resolution perceptual modeling techniques do not always consider the implications of transferring the model across limited bandwidth communications channels, which is critical for real time information sharing. To bridge this gap in the state of the art, this paper presents a system that compactly represents sensor observations as GMMs and maintains a local occupancy grid map for a sampling-based motion planner that maximizes an information-theoretic objective function. The method is extensively evaluated in long duration simulations on an embedded PC and deployed to an aerial robot equipped with a 3D LiDAR. The result is significant memory efficiency as compared to state-of-the-art techniques.","Tabib, Wennie; Goel, Kshitij; Yao, John; Dabhi, Mosam; Boirum, Curtis; Michael, Nathan",,0,
